ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
78491J25YN,50,F,1481056,2018-03-09
08349R64SN,51,F,1023285,2018-10-26
77707I89CB,42,F,1008314,2018-05-30
01439E69TI,37,F,946545,2017-03-08
37023S20ZM,46,F,1362399,2018-09-18
08736E08DD,30,M,1365515,2018-02-01
83877U15TB,42,F,1157465,2018-04-20
65904G65YK,34,M,768129,2018-09-04
61214G80ZN,55,F,879113,2019-03-04
85691K09NH,40,F,897965,2019-01-19
84131A41RV,47,M,1185438,2019-03-13
34686I34DX,50,F,893051,2018-12-06
49913C08MC,25,M,1477919,2018-07-03
45447H02JK,28,F,645555,2016-10-07
96590B86BM,60,M,616767,2017-02-17
11291R80DZ,41,F,1378658,2019-03-06
37189N42UN,29,M,1493909,2019-02-24
70335V50SH,55,F,1080001,2019-05-19
05274S84AQ,46,F,1039901,2018-07-03
06133O40VE,60,M,1779440,2018-08-29
57289T50EW,61,F,1878164,2018-02-25
73937S12OW,52,F,847439,2018-09-03
89927G30NR,56,F,1234943,2017-10-07
31470X06BS,54,M,670864,2017-09-21
57578P16IZ,35,M,638483,2019-05-05
98708I08VX,47,M,1727612,2018-05-21
36958P04EX,54,F,907788,2018-09-24
53758C39CR,48,F,1082487,2017-02-15
99157G28PR,62,F,1170677,2019-04-18
87076V59OJ,25,M,620180,2018-08-23
76764B06UP,47,M,1761085,2019-04-07
27675L93OS,63,M,1661463,2019-06-06
69692I70LT,35,M,699810,2018-12-13
46154W39MF,59,M,1614879,2018-11-20
52381S90GM,52,M,539135,2019-01-25
10457N39YE,62,F,565738,2018-11-13
40731K15FZ,46,F,1182844,2018-11-17
06173N47SN,38,M,1491178,2018-12-10
18532K46RW,62,M,1389961,2017-11-20
18976W76SJ,29,F,1118045,2018-11-26
97566A37BR,47,F,1241037,2019-02-03
68707E12OX,34,F,1177567,2018-09-18
30931S34VN,64,F,1497818,2019-04-25
69546Q66TX,34,M,1442841,2017-02-09
59999L00PL,26,F,1149955,2017-11-20
05678X36FB,50,M,1729710,2018-04-17
53776P44MZ,50,F,842591,2016-11-03
42983W11JW,32,M,728377,2018-10-01
20545D80RB,61,M,772565,2017-08-04
11046E28HA,54,F,1550310,2019-03-12
93609N63NP,60,F,1993500,2019-06-19
80643O81AC,31,F,989465,2019-01-01
00393E86UP,41,F,1532052,2019-04-03
46408E72XM,45,M,1847655,2018-01-23
27402X64HA,53,M,1850319,2018-09-22
05626Y20CY,55,F,396146,2018-07-15
93004L90PZ,63,F,965953,2016-11-11
98443X71XZ,52,M,1295563,2018-03-15
25775Y84LZ,29,M,1061035,2017-04-16
35718W19QL,41,F,1377534,2018-08-25
29231R10EV,33,M,665540,2018-09-24
48748J87TG,37,F,869555,2018-10-20
11807D05SY,64,F,478022,2017-06-21
21905X90RO,53,F,942670,2018-05-17
10580L29VV,53,F,1589847,2018-03-07
81228D18BO,48,F,1286785,2017-03-15
34057Z27MM,47,M,1126751,2018-02-20
12167K01BK,54,M,846810,2018-07-19
06265P28JU,44,F,1323464,2017-05-08
82049Z51KX,46,M,1831145,2018-04-10
83239R16ZW,47,M,825272,2018-08-04
49558V29YX,53,F,1080442,2017-07-10
40464Z35MR,43,F,974609,2018-08-20
53644Q78VY,45,F,964490,2018-06-20
69142F16CA,36,M,1551754,2018-03-13
60492C50GZ,65,F,1723412,2018-02-26
71614Z31OM,41,F,926999,2018-05-22
03416B32RP,64,M,1779203,2018-10-12
11077F22QA,50,M,1718761,2017-10-30
08303G30SE,29,M,1488480,2018-05-07
44241A27AO,51,F,892474,2018-11-17
71374A23QL,34,M,667843,2018-11-13
45803L99EN,36,F,1331330,2019-06-26
27196C53UI,51,M,1930536,2019-03-27
48370R51HV,63,M,590030,2019-05-14
70649O76MN,63,M,1835340,2017-07-13
82256A49ZW,43,F,1222677,2019-03-03
38455W93II,43,M,1230491,2018-03-06
56315E12TT,65,M,1456124,2018-10-21
05941J55YU,59,M,1881539,2019-02-19
25776I29OU,28,F,766852,2019-06-01
34172K69PZ,57,F,1666075,2019-02-05
72874V43ML,27,F,802199,2019-02-03
97873N72SX,29,M,1132280,2018-11-04
26516G80GC,51,F,712229,2018-12-07
40274P55MR,29,M,806350,2018-10-18
54543P85JE,33,F,534381,2018-03-09
19722J93DS,41,F,1385414,2017-11-05
37540D78FC,42,M,1028198,2018-11-20
13796B47JK,59,F,1984906,2018-05-18
29917A71GR,63,F,1888073,2018-09-27
59447S66XJ,25,M,699550,2018-05-20
64886B88KU,41,M,874875,2018-07-16
46269H09RK,41,F,1319138,2018-09-07
45336V08BD,62,M,678474,2018-02-21
97983J80LU,34,M,1471429,2018-12-06
51286U10JL,38,F,954141,2019-04-27
43022H92ZM,25,M,753347,2016-11-07
58346H15ZX,61,M,1295814,2018-07-01
23166I63YJ,54,F,476314,2018-04-20
52462Y27ZY,35,F,971872,2018-12-20
70920O55KX,54,M,571604,2018-12-27
98709G20PI,26,F,1085575,2019-05-14
55930E81CD,39,M,1653474,2019-06-09
36210A90KQ,64,F,1766409,2019-02-04
62781M09BY,26,M,850135,2018-03-31
77048U79FJ,41,F,1213824,2018-06-07
81935K44NP,33,M,1005254,2018-07-08
16888Q61UV,62,F,439156,2018-02-04
65928O21SR,49,F,1184486,2019-05-25
20018U08XQ,29,M,1358450,2018-07-16
56924D67EA,41,F,1397190,2018-04-23
29564G41BG,50,M,1847675,2018-01-20
71896F80PA,26,F,557754,2018-08-13
44742A00BG,59,F,598371,2019-01-15
11658J08WM,64,M,669219,2018-12-23
55452O90YS,26,M,1042011,2018-11-13
74294H58DY,63,F,750529,2019-01-18
15977K59ZH,42,M,1655520,2018-11-04
95668C24JX,65,M,574216,2018-05-25
07424U03NQ,65,F,904445,2019-02-19
01981T29OJ,46,F,881425,2018-02-16
29186W84KX,52,M,414489,2018-03-17
92243B76RF,28,F,934817,2018-12-15
28205S80HO,43,M,1480846,2016-09-15
37818Z75NC,42,F,1208115,2019-02-25
67259S33ZM,37,F,1023200,2018-08-30
27953J71OC,36,F,1026002,2019-04-10
58295S87JC,41,F,1527470,2016-10-09
99531J37ES,37,M,1989666,2018-07-30
30996D83MP,39,M,925909,2019-06-18
85320O04OG,38,F,1406592,2018-03-06
79310U08QK,54,M,623865,2018-05-20
74124A93UN,46,M,1345409,2018-11-03
93094V67KV,46,M,1502822,2018-11-17
38080K58AT,51,M,1213751,2018-07-13
53708H11IZ,54,M,1803042,2018-09-30
44884S97YQ,62,F,813357,2018-04-01
51952O29TX,35,F,1191707,2018-03-10
27173V28DE,25,F,539264,2019-04-26
66119P11GE,49,F,986341,2018-09-09
44344D57JR,33,F,837035,2017-04-11
58870U01GS,52,M,1022277,2018-05-29
58203M14GN,58,M,447108,2018-10-03
21007I46PT,43,M,811134,2018-05-20
71291I38KL,57,M,941447,2018-03-06
72046A86KL,35,M,1252211,2018-11-23
16057F65RU,41,F,851550,2019-03-10
35809Y80PB,64,M,597441,2018-07-04
55596O93OM,46,F,1390038,2019-01-29
94487E68MJ,42,M,1604954,2019-01-25
50240H97SQ,29,F,675039,2018-11-30
86775X83LF,36,F,1323476,2018-06-04
53732F98DR,53,F,664211,2016-09-19
09162G28LV,65,M,1010576,2019-02-08
78622I00CE,56,F,311791,2017-07-12
82980I08UK,53,F,1726881,2018-05-18
17174V41DW,57,F,1158196,2019-05-04
12289D49FN,58,F,1991511,2019-06-08
93434B83IL,57,M,541753,2018-04-01
40729A88VO,52,F,1544969,2018-05-08
70348D16MF,26,F,684257,2018-09-03
67071A73XK,38,F,1134504,2018-08-13
67079N76FD,43,M,1245243,2018-09-27
95725L39QM,48,F,1016422,2018-05-14
05756L47BT,59,M,1372898,2017-04-06
75241A87MS,56,M,336186,2018-11-09
21181O26VC,32,M,912852,2018-10-20
60533M94UG,64,M,661968,2017-07-12
59802T69NI,42,F,1361607,2018-11-19
56116P44FZ,55,F,1452019,2018-08-28
21607T60YT,51,M,1073391,2016-10-13
22262Z59VY,56,F,1788574,2017-12-03
64845Z68WC,28,F,575268,2018-12-03
39879E85CD,50,F,1132636,2019-06-06
04964Y40ED,52,M,1355417,2018-06-18
23585S30BQ,36,F,1016996,2019-03-06
20658O35IW,54,M,1097261,2019-03-24
23818S66NM,65,M,1768635,2018-07-17
20304Y55WX,52,M,1663653,2017-02-02
52695X06FP,31,M,794034,2018-04-12
90504P47ZI,42,F,1083278,2018-12-11
50188X21BJ,38,M,858685,2017-10-10
89374N38QM,55,M,1562311,2019-02-22
53094E23TV,44,M,1899363,2018-12-09
18367T23PM,62,F,1995294,2019-04-15
86828I03TM,42,F,1369008,2017-01-02
92270O55TE,37,F,1402558,2018-05-02
12259H17TT,46,M,1784897,2017-11-09
01977S59IP,31,M,1474209,2019-02-10
04282A24UF,37,F,1471031,2018-12-25
31618U63BS,38,F,1451192,2018-08-16
01965X80EJ,36,F,1563681,2018-04-07
91791E28KP,62,F,1729509,2018-05-14
39057V49UH,47,M,1101548,2016-10-20
12812O50GR,65,M,521224,2019-02-08
36940Q53HW,54,F,502604,2017-02-14
63182Y26YC,33,M,706015,2018-12-25
74579G79QB,38,F,1313702,2018-01-16
15322K02KR,31,M,1011659,2018-05-24
62480W00YQ,33,F,1021065,2018-04-29
59781L54AK,60,F,358670,2017-12-05
73750A81EL,44,M,970293,2018-11-29
70255R32PU,57,F,345919,2019-03-13
79457O82PA,51,F,1858961,2019-03-26
06693P06WI,44,F,899613,2019-02-21
41871I39PL,35,M,1479440,2018-01-31
90875D28YD,50,M,1928497,2018-02-23
14718T21QH,27,M,1440846,2018-05-14
34121O64WO,48,F,1195014,2017-05-30
40730N79DC,65,F,1533308,2017-02-12
43751D45WQ,46,F,1023755,2018-08-11
88175F29HO,57,M,1183225,2018-07-29
16297N25FC,55,F,1970524,2018-03-18
60322P10RO,34,F,1198616,2018-03-24
54579F42PN,25,F,886771,2017-01-25
05294I79GZ,56,F,647214,2018-12-27
33390D65GA,35,F,1023760,2018-06-26
43061L64SS,34,F,663176,2016-12-13
20111N92DW,34,M,843424,2019-06-28
85709Y01XG,33,M,1383916,2019-03-11
16841M12EL,65,F,447636,2017-11-25
31371S85VP,56,F,998385,2018-04-18
84565U94CH,60,F,1982479,2017-04-29
64479A24HB,53,M,927904,2018-03-17
28038B82FK,40,M,1285276,2018-04-11
15537U60KN,64,F,1510406,2019-01-24
06945L41KT,54,F,526135,2019-03-23
90687P97DK,64,F,1229728,2018-04-28
62262N47OM,45,M,912428,2017-09-19
30685C54JX,44,M,1198244,2018-03-17
08879X93QZ,53,M,1968797,2019-04-22
17956T17QP,64,M,601949,2018-07-08
48955E90SJ,30,F,740957,2018-06-23
21158S42FS,61,M,1143167,2019-03-23
43189S15VO,25,F,823642,2018-11-30
54976F15MA,38,M,1674926,2018-05-02
51931U95VC,61,M,1258423,2018-11-23
75069U20UX,63,M,718517,2018-05-29
83454T85DH,31,F,1028294,2017-03-03
80909B92WE,43,M,1618025,2018-08-16
91972D30HJ,49,F,1106013,2018-10-28
26122V91MO,37,F,1207471,2019-04-02
78675V01LC,52,M,765253,2018-06-03
89638M32YR,29,M,842765,2018-10-11
94970D32EG,36,M,1499717,2018-11-25
54091V36MC,33,F,722358,2019-05-10
46158Q53FO,46,M,1109848,2019-06-04
83100V92KQ,35,M,1133009,2018-09-20
34121J65GN,62,F,1827310,2018-05-16
52684B75FN,28,F,526845,2017-03-04
48301O88OQ,34,M,731395,2019-03-11
44789B98ZW,27,F,792299,2018-03-06
83396U46GU,51,M,910497,2018-11-27
53120C63ZM,54,F,483920,2018-11-28
58224J72VN,52,F,878008,2019-03-31
50592O45EU,28,M,818366,2019-05-23
00599T11ZO,40,M,980023,2019-03-27
90893I24FY,34,M,1095600,2018-01-31
90736M13PY,58,M,1016797,2018-06-14
31989F21YH,63,M,735839,2017-12-11
10452O19KO,51,M,1563661,2019-05-10
00348B44OJ,42,F,1162427,2018-12-13
53812D36DL,57,M,1084834,2018-06-22
23998K53CP,47,M,1047332,2019-06-22
67521H21EU,44,F,1089882,2018-07-25
56253I38CT,36,M,1570894,2018-08-14
71240V37QE,46,M,1663613,2016-11-05
35425V62BF,45,F,1496732,2018-06-20
06208S67VZ,46,M,943400,2019-06-26
58219C98WR,37,F,1227063,2018-10-25
92828R52IK,64,M,1418755,2017-08-25
21011Z38ZW,53,F,945676,2018-10-23
21261K12DO,61,M,1417016,2019-02-10
30995G71FW,44,M,1561224,2018-04-05
66014M51TW,62,F,636284,2019-05-22
05208N69AT,34,F,808078,2018-09-16
39072Y28OO,44,M,1376438,2018-09-23
45685P68SV,27,M,817023,2018-03-24
82101Q95TN,46,M,1137170,2018-05-09
09297N55XW,47,M,1051477,2016-09-19
91086Z20DK,63,M,1970295,2016-12-27
02660C26YI,60,F,1938150,2017-11-25
98640O94DA,55,F,1098200,2019-05-27
81871F64HG,29,F,758543,2018-05-05
82612W24HE,32,M,1496038,2018-05-05
77019K30HY,42,M,1131091,2018-06-03
84142B97KB,57,M,1891500,2018-01-13
71545C53TR,57,F,472145,2017-10-16
05784A69QW,40,F,1560271,2017-08-29
23889X74JP,44,F,899140,2019-05-28
72772Y12EL,53,M,451500,2017-01-20
98961K46AI,35,M,629107,2018-11-29
58872J31TK,29,F,966202,2018-12-07
29275H50ZN,63,F,1519852,2018-04-29
44204X95OM,59,M,951805,2018-05-05
18524O16IA,62,F,1083281,2018-12-19
97010O76JL,49,F,1264626,2017-03-02
52977E41QU,46,F,873120,2018-05-08
01466K86TM,31,M,1190821,2018-05-15
85182U39RA,64,M,1172536,2019-02-12
69871G49FB,33,M,631799,2017-08-25
02251W89LL,34,M,686366,2018-09-14
65868X76SK,59,M,868373,2018-05-13
47014R63IC,29,F,1008172,2017-08-31
78488T17HM,39,F,1559913,2019-06-13
95852N42OC,40,F,1221004,2017-10-25
10017P18JP,58,F,1752373,2018-01-22
77831Q82LE,41,M,1224129,2018-10-11
45076R19IN,56,F,878877,2018-05-10
16363U88GF,65,M,944075,2018-11-27
28224O92KZ,41,M,1218208,2018-04-26
33147T15EO,31,F,911605,2018-04-03
13677P80MT,29,M,1263155,2018-05-16
06436W92EG,49,F,963884,2017-07-12
51936G24LO,40,M,1212559,2017-10-10
85715Q98EI,50,M,1083578,2018-03-08
12537R36ZQ,60,M,631654,2018-07-13
58259V78YI,27,F,946906,2016-10-02
82910B45LK,35,M,1187704,2017-12-15
12599C33KL,47,F,855544,2019-02-03
17246Y35MX,46,M,1107374,2018-08-06
52192D74DX,59,F,1115543,2019-04-18
14545G47AH,41,F,980535,2017-06-29
49030G80QM,56,M,1508414,2019-01-27
47874J15VI,45,F,1238310,2018-12-17
95636M63ZG,57,M,722837,2018-06-23
19858E99ZO,56,M,752610,2019-05-27
34385R17JA,40,F,881131,2018-11-04
72789H36VA,51,F,789763,2019-04-01
74703N56WW,29,F,628766,2018-06-11
02486H90FG,60,F,1610133,2018-10-09
60549G58VU,55,F,436927,2018-05-19
67838E14YF,51,F,1373055,2019-05-30
67613L64RF,28,M,814022,2018-03-20
22148A43KQ,54,M,1393613,2019-06-30
70427F23RG,63,F,690260,2018-11-02
51139U64OJ,60,F,1916529,2018-04-16
89497A67RY,56,F,1407252,2018-04-26
18887G85BS,64,M,661561,2016-12-31
33194Z84NY,46,M,1504408,2018-04-07
17784N68UP,31,F,945035,2018-11-23
45856O04WJ,52,F,1102021,2017-12-04
79325W85WA,36,F,1448786,2018-06-24
86400K44TT,41,M,1990949,2019-03-30
35196W94AE,39,F,1528644,2018-09-14
13520W02HM,31,F,1030084,2017-12-28
38736C98KT,48,F,1115344,2016-09-15
91283H94GL,27,M,1305985,2018-10-10
55635P52JC,50,F,987184,2018-11-04
65415U14TP,47,M,1394544,2019-02-19
67253M51JC,39,F,913132,2018-11-30
06230N66IF,51,F,1477694,2018-06-27
59152H63SD,56,M,508117,2016-12-27
37928B16ZO,50,M,1981161,2018-07-26
29051R31OJ,25,F,1132674,2019-05-26
25315D41VP,54,F,1309918,2016-09-17
21109K43TW,29,M,1421444,2018-04-18
68504J42PG,45,F,816974,2018-06-16
87066T99TA,26,F,667631,2017-11-10
06720N53AC,51,M,1689384,2017-03-14
01073X91NN,26,M,1249082,2019-05-10
80447K01UU,30,F,1132036,2019-04-21
03757J84ZD,53,M,828331,2019-05-06
62639R34FM,34,F,932377,2018-06-17
59653X34YP,51,F,1841173,2018-07-19
04704D71YW,40,M,1326015,2018-10-01
68035P56KO,53,M,868889,2016-12-01
59824G53GX,44,F,1346697,2018-07-10
13766X00UO,58,M,1761407,2016-10-30
44365X98XP,46,F,1105033,2018-05-24
39941R12LB,41,M,1625262,2018-11-26
90988M10RN,32,M,674792,2018-04-26
62517N10NG,30,F,836428,2019-04-14
51258C81DL,37,F,841395,2019-04-15
45147M11GK,52,M,1248595,2018-12-22
07015D77SA,47,M,970137,2017-08-19
25925E97FN,36,F,858980,2019-01-16
64617H01AW,27,M,1093976,2018-02-19
79443T95YT,26,F,1096888,2019-04-06
31331Q78QW,26,M,725310,2018-06-04
05310H07GK,65,M,743507,2018-11-09
17566W72YI,37,F,1413736,2017-05-04
09473B21BQ,38,M,1537613,2018-06-24
19160F82CF,54,M,1350727,2018-11-25
69092Z71DQ,38,F,1466540,2017-10-21
33959Z55WP,64,F,370059,2018-07-08
00164J47FL,65,F,313558,2019-04-16
52830O66YE,37,M,1480270,2018-02-19
25269U36FH,45,M,1618561,2018-12-25
47711A55VY,31,F,963900,2018-09-26
35036V39TJ,27,F,685556,2019-03-22
88978A65VE,34,F,1064412,2018-05-13
25935I32VJ,28,F,926803,2017-08-22
42233G56SY,54,F,1553425,2016-10-21
11820M68VF,52,F,1149787,2018-10-24
65206O21CE,52,F,1755456,2017-10-23
78899D26JX,30,F,802343,2018-08-11
33160Y15NJ,30,M,1180355,2018-10-15
63519K68HF,27,F,589959,2019-04-07
65033S05QX,33,M,682970,2017-10-14
90958D94VX,25,F,549972,2018-04-09
54789N86UW,29,M,1014387,2018-07-23
66689E07NH,40,M,1216298,2019-04-30
17319D20QJ,54,F,1695443,2018-08-02
40664M31QB,28,M,1227569,2018-11-03
07695H42XY,51,M,1565327,2017-01-27
84444N13SU,51,M,1818909,2018-03-14
81582G51PX,46,F,1020520,2019-04-08
90299G83ZS,62,F,1714745,2017-04-04
92582Z01MJ,28,F,1105410,2016-12-12
13673U05UD,60,M,880447,2018-02-26
29316U81PY,31,M,1072913,2018-12-12
02789B07DZ,47,F,1278916,2019-01-26
90989O73AU,38,F,1410839,2018-04-11
78284F91AE,34,F,509359,2017-03-28
27639N63QN,46,M,1704357,2017-02-20
95451X11JN,36,F,1049506,2018-05-16
82323U70HD,51,F,708975,2019-06-06
62405E31RQ,44,F,954743,2019-01-03
71693B08KP,41,F,1062020,2019-01-07
57917M30NY,60,F,537459,2018-09-09
91404E86LT,38,M,1382323,2018-10-18
69223Z24BU,25,F,1189813,2018-11-05
67273U88ZK,61,M,1860017,2019-01-12
48407W54CG,36,M,1175979,2017-07-03
59852P12OB,54,M,806030,2018-02-16
15590Q91JC,47,M,1478903,2017-09-14
96883C14UD,60,M,1337539,2019-04-02
49062G43JN,50,F,1329074,2016-11-19
82516E32DF,28,F,1136533,2018-12-27
34031T57VU,49,F,928687,2018-10-27
17314G00VZ,49,F,1434682,2018-03-22
04328Z75NO,62,M,1526897,2018-02-28
16705A66ED,28,F,1194275,2019-06-21
39587M57XF,52,M,1803240,2018-03-31
07380R28DH,54,M,1405038,2017-10-26
49683L76GH,36,M,1381314,2016-12-31
86745L42QE,53,F,1684596,2019-03-22
62307J23UB,53,F,731378,2018-11-15
07950S38HG,43,M,1772256,2016-09-17
76766S38HR,39,M,1089446,2018-04-12
99790P90TX,51,M,1617581,2016-11-09
49812S91WH,58,M,325134,2018-09-10
57101D64PD,34,M,1404537,2018-06-15
93011H05SW,47,F,1586731,2018-05-18
61343B94UD,27,M,1268436,2018-02-24
08634H96YX,46,F,1262344,2018-01-12
00509S80AQ,45,M,1981891,2018-12-18
72048Z03MP,49,M,1245853,2018-07-01
93947N85VO,34,M,736579,2018-12-29
97400N81VC,42,M,1744982,2018-09-10
26468P24OE,47,F,1465034,2018-04-16
09616Z71CR,63,F,757937,2019-04-24
65103S67XP,41,M,1905447,2019-02-21
48835F80UG,37,F,1438774,2018-03-16
26192P33LD,46,F,1390908,2017-06-25
36767L91MC,50,F,1508886,2018-03-08
68840U28NG,41,M,1703353,2017-09-10
27190G73YN,56,M,398388,2018-06-17
66552X84FK,30,F,744736,2018-12-04
71272W60WQ,48,F,1553115,2018-01-02
07984C96RD,58,F,1812094,2018-03-21
24129E48OS,60,M,589484,2018-09-10
76840E82OL,25,F,840104,2018-06-09
41266U88TZ,49,M,1441761,2018-09-12
41165Z86WW,65,F,320356,2018-06-27
16365J10AF,43,M,1119759,2018-06-21
40856T63OT,53,M,1061513,2018-01-03
24834F24RV,44,M,1630624,2019-04-02
97416K72XY,52,F,1460228,2018-02-18
41455W36WW,45,F,1438957,2016-12-30
50166M96CS,44,F,1463559,2019-04-30
59208W03WL,64,F,785732,2018-07-26
84792E73FN,64,M,1094239,2016-12-17
76575M18DC,29,M,689338,2018-09-03
55366F76YB,57,M,1714938,2018-05-30
54689M06PQ,53,M,658325,2019-06-19
06530I57BM,54,M,1656288,2016-10-25
37829W37PC,41,M,945409,2018-03-01
81163T56HK,42,M,1763021,2018-10-27
05623M11YS,64,F,543518,2018-12-31
82252W94VP,41,F,1132060,2017-03-11
38997Z15AU,34,M,642858,2016-10-31
34991D65CV,29,M,798220,2017-11-18
73093T46EO,27,F,672400,2018-07-29
68485V94EO,42,F,1030356,2018-08-05
88680B34YG,50,F,1011823,2018-05-28
53273T77HP,60,M,1779520,2018-05-29
62960J99AF,34,F,924577,2018-10-27
69300T76PB,45,F,1165395,2019-04-19
85818U27KL,43,F,1457928,2018-11-13
85053O35CH,45,F,1501110,2018-06-01
91826Z22SC,28,F,631735,2019-03-21
50735G66NR,53,M,825257,2019-06-12
48943X97ZZ,54,M,500819,2018-01-12
53835Q76GT,64,M,1754059,2018-06-10
79629Q65CU,63,F,964084,2018-11-14
16444U82YR,32,M,1087726,2019-01-16
04470M26JC,65,M,482338,2019-04-09
51411C98SM,65,F,1488702,2018-09-02
10881T21TQ,49,M,1846077,2018-03-05
11025T63YR,53,F,1791674,2019-03-25
76164B69PG,54,M,859563,2018-04-20
31348W89DV,47,M,1647823,2017-04-13
71224Q45DZ,30,M,1389584,2017-02-16
71394A91ZP,37,M,1998220,2018-02-24
16682T42XE,60,M,1739479,2018-03-21
48038X88NO,58,F,1286260,2018-05-22
59125W11NG,45,F,1402200,2018-07-24
69188O11BG,57,F,355723,2019-05-13
50954G65BP,60,M,614789,2019-06-25
95989X92IW,25,M,1114581,2018-08-15
30988W25MQ,30,F,797228,2018-02-17
71394O38CV,49,M,1639778,2018-07-21
19038L40SS,29,F,691998,2017-12-11
70688I62SZ,64,M,873358,2016-10-10
78848X63TZ,36,M,1854106,2017-01-23
27186N22ZB,39,M,1212463,2017-08-01
04084X31QE,47,F,914260,2016-11-30
67320X74CF,40,M,1154376,2019-01-06
80975N56QO,43,F,1498801,2019-05-11
81304R75PA,27,M,1367020,2019-05-27
77327W84XU,30,F,963405,2018-11-18
96356S32VC,52,M,1702892,2018-05-02
36480M27VT,26,F,976861,2019-01-04
70597R74UV,27,M,978081,2019-02-28
47205Y15QF,48,M,1799960,2018-05-15
65558D41GI,28,M,1451313,2018-07-02
65731K99JB,50,F,896089,2019-06-13
93542L10MA,46,M,1456806,2018-07-23
10571C57UR,33,M,1091916,2017-04-27
