ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE,AGE_CAR_SEGMENT,Predicted_Purchase,Purchase_Probability,Purchase_Probability_Percent,Potential_Customer
95328E32MG,36,M,744509,643,1,Segement 4,1,0.9433370737239989,94.33,Yes
36108V09WS,40,M,765805,634,0,Segement 4,1,0.9432447958407332,94.32,Yes
75311L80KI,45,M,792515,608,1,Segement 4,1,0.9431411766451178,94.31,Yes
87181V50PT,39,M,757208,613,0,Segement 4,1,0.9428335378699982,94.28,Yes
63287N65VK,45,M,790091,626,1,Segement 4,1,0.9428191266892845,94.28,Yes
13797W98NT,43,M,778395,541,1,Segement 4,1,0.9427259491712348,94.27,Yes
43949M69ZS,38,M,750251,965,1,Segement 4,1,0.9426389887151557,94.26,Yes
39333N67KX,37,M,743888,684,1,Segement 4,1,0.9425233815905832,94.25,Yes
66509B89VI,46,M,792075,742,1,Segement 4,1,0.942349145557212,94.23,Yes
17416E87KU,42,M,769507,778,1,Segement 4,1,0.9422720611647334,94.23,Yes
06292T44XB,37,M,739955,947,1,Segement 4,1,0.9419946458198779,94.2,Yes
96481F64HR,46,M,789424,700,1,Segement 4,1,0.9419922434558552,94.2,Yes
25640G80EF,42,M,766965,892,1,Segement 4,1,0.9419294450975346,94.19,Yes
12735S50YE,46,M,788688,943,1,Segement 4,1,0.941892789186529,94.19,Yes
50395D19HM,47,M,793328,600,1,Segement 4,1,0.9417765751654976,94.18,Yes
45477S79VO,40,M,753757,605,1,Segement 4,1,0.9416299000721708,94.16,Yes
01964Q70HM,38,M,741904,771,1,Segement 4,1,0.9415135463770475,94.15,Yes
39138K70XH,44,M,774685,889,1,Segement 4,1,0.9414849396798372,94.15,Yes
87618D48FM,36,M,729843,546,1,Segement 4,1,0.9413686144240041,94.14,Yes
16734V80UK,39,M,745347,813,1,Segement 4,1,0.941233233278881,94.12,Yes
98354A93ZK,37,M,733043,601,1,Segement 4,1,0.9410543519569413,94.11,Yes
15610B50VW,37,M,732611,873,1,Segement 4,1,0.9409951115841475,94.1,Yes
56969Y15OE,36,M,726803,531,1,Segement 4,1,0.9409526398608389,94.1,Yes
31181Y92PP,49,M,798283,591,1,Segement 4,1,0.9409525131009642,94.1,Yes
42591D47YD,47,M,786389,752,1,Segement 4,1,0.940829254396882,94.08,Yes
98106S07LH,45,M,775101,571,1,Segement 4,1,0.9407892217431922,94.08,Yes
27273V42SE,45,M,774973,651,1,Segement 4,1,0.9407716008983427,94.08,Yes
97744J25WZ,42,M,757445,806,1,Segement 4,1,0.940629297708741,94.06,Yes
82722P01CR,36,M,724453,958,1,Segement 4,1,0.9406291866770345,94.06,Yes
05984V95HK,39,M,740669,747,1,Segement 4,1,0.9405905926281541,94.06,Yes
61130A62VM,43,M,761560,899,1,Segement 4,1,0.9404380934989925,94.04,Yes
73644Y23XT,49,M,794403,905,1,Segement 4,1,0.9404175787310454,94.04,Yes
99523V95BZ,45,M,772197,965,1,Segement 4,1,0.9403882379897411,94.04,Yes
13078L67NA,38,M,733363,565,0,Segement 4,1,0.9403405326779969,94.03,Yes
25614Z13EO,36,M,721475,607,1,Segement 4,1,0.9402169110030336,94.02,Yes
65093M76SM,36,M,720928,983,0,Segement 4,1,0.9401408932094629,94.01,Yes
85613S52AK,43,M,759061,929,1,Segement 4,1,0.9400912691939785,94.01,Yes
80211T65PT,41,M,747819,873,1,Segement 4,1,0.9400571742838927,94.01,Yes
99317V50QX,42,M,753133,527,1,Segement 4,1,0.940031475371451,94.0,Yes
93354Q92UR,43,M,757891,506,1,Segement 4,1,0.9399282413772067,93.99,Yes
85945A27ER,49,M,790771,986,1,Segement 4,1,0.9399127258199986,93.99,Yes
90514I21EA,40,M,740955,535,1,Segement 4,1,0.9398667681997585,93.99,Yes
22709C88RA,43,M,756461,948,1,Segement 4,1,0.9397284211912559,93.97,Yes
86030I58VB,37,M,723045,941,1,Segement 4,1,0.9396689416327474,93.97,Yes
29516Q80UX,43,M,755651,1017,1,Segement 4,1,0.9396149605319163,93.96,Yes
96431D75JU,44,M,760421,506,1,Segement 4,1,0.9395127407232746,93.95,Yes
99344D61GR,36,M,716424,688,1,Segement 4,1,0.9395115135092396,93.95,Yes
69669D94ZF,50,M,793189,852,1,Segement 4,1,0.9394813919786658,93.95,Yes
58332E12ZA,43,M,754275,1012,1,Segement 4,1,0.9394217592401168,93.94,Yes
52120C88SA,41,M,743192,707,1,Segement 4,1,0.9394096741372733,93.94,Yes
04147P04KE,41,M,742776,659,1,Segement 4,1,0.9393511397709579,93.94,Yes
21373P12BK,40,M,736379,775,1,Segement 4,1,0.9392245380254033,93.92,Yes
52296M24IN,47,M,774075,915,1,Segement 4,1,0.9391124893796079,93.91,Yes
47891R42DW,51,M,795594,988,1,Segement 4,1,0.9390453239923264,93.9,Yes
17089M83HD,37,M,718475,572,0,Segement 4,1,0.9390255845906864,93.9,Yes
42526Z81PQ,37,F,792939,627,1,Segement 4,1,0.9389299781992683,93.89,Yes
96509W78CF,40,M,734211,937,1,Segement 4,1,0.9389180298149791,93.89,Yes
43250L50JX,38,M,722435,784,1,Segement 4,1,0.9388075528131624,93.88,Yes
00682D83FR,51,M,793627,513,1,Segement 4,1,0.938766527099109,93.88,Yes
92435P78HI,42,M,743243,603,1,Segement 4,1,0.9386389641082371,93.86,Yes
17956S67SQ,47,M,770355,854,1,Segement 4,1,0.9385847672627161,93.86,Yes
88685T22PQ,47,M,769237,849,1,Segement 4,1,0.9384253333340657,93.84,Yes
70156G41KH,50,M,785547,706,1,Segement 4,1,0.9383988285186238,93.84,Yes
20809W15SH,48,M,774424,680,1,Segement 4,1,0.9383808379538503,93.84,Yes
86661B62QX,42,M,740904,945,1,Segement 4,1,0.9383052413913311,93.83,Yes
64077L56YK,45,M,757373,763,1,Segement 4,1,0.9383014367657871,93.83,Yes
73515J99YC,39,M,724035,765,1,Segement 4,1,0.9382518085636513,93.83,Yes
14157M50AZ,44,M,751445,785,1,Segement 4,1,0.9382399739027277,93.82,Yes
49130Y99IC,50,M,784253,817,0,Segement 4,1,0.938213738654721,93.82,Yes
40556R40FB,49,M,778581,788,1,Segement 4,1,0.9381888869405077,93.82,Yes
47321R09GO,47,M,767088,672,1,Segement 4,1,0.9381177855954241,93.81,Yes
22266J55BC,51,M,788886,779,1,Segement 4,1,0.9380896456584746,93.81,Yes
96898C42DT,43,M,743813,932,0,Segement 4,1,0.9379337958785383,93.79,Yes
99300D60XZ,44,M,749155,658,1,Segement 4,1,0.9379112758603161,93.79,Yes
86452T27HP,39,M,721635,613,1,Segement 4,1,0.9379073421329047,93.79,Yes
95807P16IK,53,M,798237,792,1,Segement 4,1,0.9378530037302376,93.79,Yes
56241O33CM,37,M,709571,624,1,Segement 4,1,0.9377536319557073,93.78,Yes
55416E20QQ,43,M,742357,901,1,Segement 4,1,0.9377240293565987,93.77,Yes
23921Y73AS,51,M,786090,922,0,Segement 4,1,0.9376871857461125,93.77,Yes
83463A74BE,37,M,708339,643,1,Segement 4,1,0.9375756994138513,93.76,Yes
29726V34II,39,F,794165,836,1,Segement 4,1,0.9375308035197688,93.75,Yes
02154E70RJ,43,M,739971,847,1,Segement 4,1,0.9373788458314929,93.74,Yes
12694T59YW,43,M,739613,634,1,Segement 4,1,0.937326900037891,93.73,Yes
99166X53YU,44,M,745000,956,1,Segement 4,1,0.9373107084519409,93.73,Yes
98794P45AQ,49,M,771947,853,1,Segement 4,1,0.9372314363291379,93.72,Yes
99594I94BM,50,M,776669,515,0,Segement 4,1,0.9371184629322861,93.71,Yes
18830E10EL,37,M,705168,667,1,Segement 4,1,0.9371155395731716,93.71,Yes
54320C33CU,53,M,792921,668,1,Segement 4,1,0.9370829841927377,93.71,Yes
24677E16IA,52,M,786813,824,1,Segement 4,1,0.9369941366010927,93.7,Yes
65033M49XO,37,F,779432,514,1,Segement 4,1,0.9369879677843668,93.7,Yes
48903A71FF,49,M,770160,601,0,Segement 4,1,0.9369711716317843,93.7,Yes
52609H99ON,47,M,758952,901,1,Segement 4,1,0.9369403840290915,93.69,Yes
92455N85CL,39,F,789736,764,1,Segement 4,1,0.9368867819597204,93.69,Yes
46229Q23IL,51,M,780437,847,0,Segement 4,1,0.9368660146725811,93.69,Yes
93925Y38XU,43,M,736221,993,1,Segement 4,1,0.9368327219796256,93.68,Yes
60608B64ZQ,46,M,752611,825,1,Segement 4,1,0.936817279350755,93.68,Yes
34150X69FD,52,M,785487,850,1,Segement 4,1,0.9368004291387309,93.68,Yes
44644W48SK,52,M,784859,979,1,Segement 4,1,0.9367084946760057,93.67,Yes
33474G96LU,45,M,746149,816,1,Segement 4,1,0.9366762189784712,93.67,Yes
52515N05IL,49,M,767709,705,1,Segement 4,1,0.936612562452809,93.66,Yes
06887W42SQ,49,M,767512,1018,0,Segement 4,1,0.9365836566649326,93.66,Yes
62247Y79TM,54,M,794440,657,1,Segement 4,1,0.9365007356469324,93.65,Yes
24531Y75BQ,41,M,722363,559,1,Segement 4,1,0.9364130918299509,93.64,Yes
61897W29NF,55,M,799130,857,1,Segement 4,1,0.9363818262460499,93.64,Yes
37892D25AP,40,M,716411,544,1,Segement 4,1,0.93634634098377,93.63,Yes
00658R45HF,53,M,787609,802,1,Segement 4,1,0.9363046613188223,93.63,Yes
93165P37GE,39,M,709597,673,1,Segement 4,1,0.936152333213427,93.62,Yes
09765C88PQ,39,M,709464,648,1,Segement 4,1,0.9361326874660797,93.61,Yes
37554L95NE,45,M,742365,521,1,Segement 4,1,0.9361193612869048,93.61,Yes
24713I81NU,38,M,703744,779,1,Segement 4,1,0.9360999614836214,93.61,Yes
61998I90KO,46,M,747077,881,1,Segement 4,1,0.9360030428881393,93.6,Yes
89274F65BH,48,M,757963,790,0,Segement 4,1,0.9359866018449309,93.6,Yes
43552E78WQ,39,F,783445,921,1,Segement 4,1,0.9359613576549081,93.6,Yes
93946O50NK,51,M,773504,586,1,Segement 4,1,0.9358451297932842,93.58,Yes
22443M59LQ,54,M,789750,561,1,Segement 4,1,0.935808091239247,93.58,Yes
50211C16SC,47,M,750803,665,1,Segement 4,1,0.9357401835861883,93.57,Yes
13216I99JI,38,F,776432,761,1,Segement 4,1,0.9357366945901983,93.57,Yes
72516T10FQ,48,M,755355,852,1,Segement 4,1,0.9355994051767268,93.56,Yes
27142P25BV,55,M,793667,582,1,Segement 4,1,0.9355729395789336,93.56,Yes
20265X44LH,37,M,694427,661,0,Segement 4,1,0.9355332487253237,93.55,Yes
65367T47SC,47,M,748968,984,1,Segement 4,1,0.9354670015818365,93.55,Yes
88244E35FJ,47,M,748875,828,1,Segement 4,1,0.9354531276411593,93.55,Yes
05431W77PX,41,F,790795,893,1,Segement 4,1,0.9354190904919834,93.54,Yes
81089Q94JX,53,M,781590,783,1,Segement 4,1,0.9354119078475601,93.54,Yes
40877O34OT,41,F,790733,730,1,Segement 4,1,0.9354098351141346,93.54,Yes
07471C94WK,38,M,698869,941,1,Segement 4,1,0.9353756201896153,93.54,Yes
03122R41YF,48,M,752872,503,1,Segement 4,1,0.9352287410913709,93.52,Yes
45474E18IJ,37,F,767125,724,1,Segement 4,1,0.9351684813550326,93.52,Yes
39150X75CG,50,M,763133,773,1,Segement 4,1,0.9351184797353153,93.51,Yes
91848Q81VY,41,M,713619,557,1,Segement 4,1,0.9351144008349453,93.51,Yes
91221Q19ME,45,M,735611,918,1,Segement 4,1,0.9351140814548007,93.51,Yes
82640X49NE,56,M,795585,1008,1,Segement 4,1,0.9350375983275955,93.5,Yes
99566W40VS,56,M,795035,902,1,Segement 4,1,0.9349549995311788,93.5,Yes
04584S53EY,52,M,772914,973,1,Segement 4,1,0.9349359324139568,93.49,Yes
35069V18VV,47,M,745368,593,1,Segement 4,1,0.9349279148733706,93.49,Yes
34599J63ME,36,M,684488,972,1,Segement 4,1,0.9348683388466651,93.49,Yes
30557P37DU,57,M,799727,878,1,Segement 4,1,0.9348336980459425,93.48,Yes
99567N27AG,51,M,766470,589,1,Segement 4,1,0.9347936752791122,93.48,Yes
28424D48AM,37,M,689411,835,1,Segement 4,1,0.9347816937070883,93.48,Yes
35360L37QP,45,M,733331,592,1,Segement 4,1,0.9347714101314376,93.48,Yes
99901O10RJ,36,M,796565,453,1,Segment 3,1,0.9347638396109292,93.48,Yes
74816V86CM,53,M,777249,571,1,Segement 4,1,0.9347608236766655,93.48,Yes
73793S20UC,39,M,700248,720,1,Segement 4,1,0.9347575772101201,93.48,Yes
78180M49ZU,39,M,699707,762,1,Segement 4,1,0.9346760050697798,93.47,Yes
03426C21IU,56,M,793137,815,1,Segement 4,1,0.9346692076024994,93.47,Yes
26666P23ZS,44,M,727139,638,1,Segement 4,1,0.9346668524002041,93.47,Yes
01890K22RH,50,M,760061,948,1,Segement 4,1,0.9346564109004558,93.47,Yes
10653U36RE,39,M,699296,542,1,Segement 4,1,0.9346139709706918,93.46,Yes
60846J27FR,36,M,682179,592,1,Segement 4,1,0.934520075848213,93.45,Yes
21858T40TM,56,M,791859,823,1,Segement 4,1,0.9344761148400891,93.45,Yes
85114O07CN,41,F,784053,816,1,Segement 4,1,0.9344053802232913,93.44,Yes
62346O04QA,54,M,780385,946,1,Segement 4,1,0.9344039189610358,93.44,Yes
36053G99YJ,42,M,713981,939,1,Segement 4,1,0.9343400363988618,93.43,Yes
18065R36ZK,41,F,783072,802,1,Segement 4,1,0.9342566521322163,93.43,Yes
35725E61LD,43,M,718819,875,1,Segement 4,1,0.9342398356834809,93.42,Yes
99966A02KB,52,M,768205,850,1,Segement 4,1,0.9342245331972518,93.42,Yes
09524E28GF,51,M,762227,593,1,Segement 4,1,0.9341516947198963,93.42,Yes
37992H64MA,55,M,784215,842,1,Segement 4,1,0.9341507629552718,93.42,Yes
29210X57CQ,41,F,782339,651,1,Segement 4,1,0.9341453184181371,93.41,Yes
87785S30QB,41,M,707011,743,1,Segement 4,1,0.9341166250291205,93.41,Yes
48070S26CP,41,F,782128,973,1,Segement 4,1,0.9341132376348874,93.41,Yes
05765E52OG,37,M,797680,414,1,Segment 3,1,0.9341002136690355,93.41,Yes
07179F02KR,53,M,772822,970,1,Segement 4,1,0.9340905570551737,93.41,Yes
74818Y67SD,36,F,754045,968,1,Segement 4,1,0.9340234046222846,93.4,Yes
70403S54ZX,55,M,783165,791,1,Segement 4,1,0.933990987763007,93.4,Yes
99013V15PH,55,M,783095,573,1,Segement 4,1,0.9339803232833914,93.4,Yes
36319Z95LY,43,M,716928,815,1,Segement 4,1,0.9339521904382369,93.4,Yes
90667E55VF,58,M,799393,989,0,Segement 4,1,0.9339502106933257,93.4,Yes
53960Z73LR,42,M,711120,901,1,Segement 4,1,0.9339050052983735,93.39,Yes
72592A94DS,40,M,699853,699,1,Segement 4,1,0.933863822194742,93.39,Yes
22797Q26GD,37,M,682995,866,1,Segement 4,1,0.9338084941345004,93.38,Yes
37280Z79OK,45,M,726917,867,1,Segement 4,1,0.9337983734763556,93.38,Yes
59726U13KN,51,M,759896,788,1,Segement 4,1,0.9337965105925714,93.38,Yes
38800W27CL,44,F,796403,602,1,Segement 4,1,0.9337747324675263,93.38,Yes
79096A36BS,37,F,757520,564,1,Segement 4,1,0.9337146143863232,93.37,Yes
52227A03EF,36,F,751987,993,0,Segement 4,1,0.9337093430577484,93.37,Yes
93633Q38GR,41,M,704221,872,1,Segement 4,1,0.9336910812760528,93.37,Yes
83298X61OQ,56,M,785902,762,1,Segement 4,1,0.9335690527895747,93.36,Yes
71021K83RA,50,M,752595,664,1,Segement 4,1,0.9335206416371278,93.35,Yes
51062Z60CL,52,M,763519,612,0,Segement 4,1,0.9335094364793021,93.35,Yes
51415D68BX,38,F,761469,562,1,Segement 4,1,0.9334772492009409,93.35,Yes
60258L50LB,48,M,740517,745,0,Segement 4,1,0.9333546920083088,93.34,Yes
99129G22GF,39,M,690707,838,1,Segement 4,1,0.9333049972730577,93.33,Yes
23377B59SQ,49,M,745221,704,1,Segement 4,1,0.9332324668493489,93.32,Yes
56015N05GD,51,M,756198,587,1,Segement 4,1,0.9332293774824763,93.32,Yes
30740H66PC,55,M,777921,1013,0,Segement 4,1,0.933187619360074,93.32,Yes
99039B46GF,42,M,705968,775,1,Segement 4,1,0.9331148546118158,93.31,Yes
59757I91OH,50,M,749864,946,1,Segement 4,1,0.9331006252120804,93.31,Yes
61005V12VY,37,M,790925,406,1,Segment 3,1,0.9330652764813611,93.31,Yes
80233J28RJ,37,F,753229,676,1,Segement 4,1,0.9330553627269368,93.31,Yes
91195R03ZK,40,M,694547,960,1,Segement 4,1,0.9330494476352638,93.3,Yes
00570A36UB,55,M,776224,518,1,Segement 4,1,0.9329257046956714,93.29,Yes
87853Y89UP,56,M,781488,664,1,Segement 4,1,0.9328894321199809,93.29,Yes
94041J79FS,57,M,786763,577,1,Segement 4,1,0.9328548438505136,93.29,Yes
89492E89AL,59,M,797328,992,1,Segement 4,1,0.9327879414375846,93.28,Yes
87937P94RH,43,M,708981,657,0,Segement 4,1,0.9327305259726135,93.27,Yes
74806I11FY,54,M,769461,577,1,Segement 4,1,0.9327299278052514,93.27,Yes
38213G68EV,43,M,708816,694,1,Segement 4,1,0.9327049402376681,93.27,Yes
49234P61GT,59,M,796673,528,1,Segement 4,1,0.9326864010672016,93.27,Yes
38607N34RZ,42,F,778152,601,1,Segement 4,1,0.9326576616126682,93.27,Yes
38099X94DF,37,M,675184,657,1,Segement 4,1,0.9326054881808219,93.26,Yes
44002P04ZI,46,F,799051,576,1,Segement 4,1,0.9324875053915382,93.25,Yes
57698A51MV,37,M,674403,753,0,Segement 4,1,0.9324840936206664,93.25,Yes
83792D16IJ,37,M,787131,446,0,Segment 3,1,0.9324773980628185,93.25,Yes
54492Y52MZ,42,M,701501,773,1,Segement 4,1,0.9324226721770011,93.24,Yes
23182S33CW,48,M,734147,747,1,Segement 4,1,0.9323689068730409,93.24,Yes
07778P78XU,58,M,788871,618,0,Segement 4,1,0.9323281781728125,93.23,Yes
25102X76KG,48,M,733648,693,1,Segement 4,1,0.9322911158690323,93.23,Yes
47532U84PA,40,M,689611,926,0,Segement 4,1,0.9322835132369315,93.23,Yes
01541F43OG,36,M,780365,370,0,Segment 3,1,0.9322799396346283,93.23,Yes
53472J69VS,38,M,678003,755,1,Segement 4,1,0.9321881493674681,93.22,Yes
07826Y53XF,38,M,677867,717,1,Segement 4,1,0.9321669035098611,93.22,Yes
44426B94WS,39,M,795997,438,1,Segment 3,1,0.9321450933804483,93.21,Yes
00140V89YT,36,M,779277,489,1,Segment 3,1,0.9321100134053716,93.21,Yes
15945R12AF,44,F,785427,610,1,Segement 4,1,0.9320777176494056,93.21,Yes
69421X33VN,49,M,737715,656,0,Segement 4,1,0.9320674881247306,93.21,Yes
06184N28FK,38,M,789971,493,1,Segment 3,1,0.9320626096767293,93.21,Yes
45595V73IP,37,M,671504,696,1,Segement 4,1,0.9320317124417865,93.2,Yes
01496T09SX,36,M,665789,845,1,Segement 4,1,0.9319978207645842,93.2,Yes
02431G28IV,41,M,692744,947,0,Segement 4,1,0.9319135726683966,93.19,Yes
69181Y80SH,39,M,794421,487,1,Segment 3,1,0.9318983673221798,93.19,Yes
44837H11CR,36,M,777888,389,1,Segment 3,1,0.9318925018231807,93.19,Yes
01313I14RI,40,M,799875,423,1,Segment 3,1,0.9318913835910518,93.19,Yes
38585W52FF,54,M,763387,621,1,Segement 4,1,0.9317820829010082,93.18,Yes
77832V65RO,55,M,768729,578,1,Segement 4,1,0.9317574932058887,93.18,Yes
34701E44AV,55,M,768628,802,1,Segement 4,1,0.9317416227594493,93.17,Yes
52839N04ZY,37,M,669501,840,1,Segement 4,1,0.9317175098135565,93.17,Yes
15738S33PQ,39,M,680373,698,1,Segement 4,1,0.9316978467637056,93.17,Yes
27935T45AV,39,M,793109,488,1,Segment 3,1,0.9316923369979888,93.17,Yes
13932X68DQ,46,F,793883,690,1,Segement 4,1,0.9316791319734612,93.17,Yes
24144W84RI,40,M,798419,402,1,Segment 3,1,0.9316626833061907,93.17,Yes
09576V94BS,45,F,788000,623,1,Segement 4,1,0.9316186368287409,93.16,Yes
62599X51AJ,36,F,738280,963,1,Segement 4,1,0.931581918026181,93.16,Yes
69261V87HD,51,M,745599,839,1,Segement 4,1,0.931578813257003,93.16,Yes
49456R66GI,58,M,783924,720,1,Segement 4,1,0.9315528644814152,93.16,Yes
09190W37ZD,38,M,673427,831,1,Segement 4,1,0.9314698902483605,93.15,Yes
14606M62NW,41,M,689451,938,1,Segement 4,1,0.9313954678969516,93.14,Yes
69111L03SA,52,M,749613,562,1,Segement 4,1,0.9313446328062734,93.13,Yes
38984R01DF,41,F,764155,959,1,Segement 4,1,0.9313267111775483,93.13,Yes
98617O81HZ,46,F,791493,546,1,Segement 4,1,0.9313022650255027,93.13,Yes
27549K29HS,41,M,688837,908,1,Segement 4,1,0.9312984609894354,93.13,Yes
59780P73GW,43,M,699688,705,0,Segement 4,1,0.9312753652112622,93.13,Yes
86823D63HE,52,M,749106,721,1,Segement 4,1,0.9312644851796497,93.13,Yes
39311B23UV,61,M,798063,852,1,Segement 4,1,0.9311806417950759,93.12,Yes
22008D74VJ,61,M,797936,763,0,Segement 4,1,0.9311605291055165,93.12,Yes
49675R05PZ,43,M,698840,898,1,Segement 4,1,0.931141137558308,93.11,Yes
85964G56RZ,48,M,726192,604,1,Segement 4,1,0.931118848955439,93.11,Yes
34184T03GZ,45,M,709115,601,1,Segement 4,1,0.9310266524700247,93.1,Yes
49327N61SH,37,F,740136,919,1,Segement 4,1,0.9310060196762194,93.1,Yes
99204V59ZU,44,M,703411,566,1,Segement 4,1,0.9309940429378197,93.1,Yes
04281J26LR,44,F,778392,878,1,Segement 4,1,0.9309689135572841,93.1,Yes
75223E46AT,43,F,772819,904,1,Segement 4,1,0.9309570873947285,93.1,Yes
81386B53UX,40,F,756013,524,1,Segement 4,1,0.9309077722428186,93.09,Yes
43806X22GP,41,F,761496,812,1,Segement 4,1,0.9309053036511529,93.09,Yes
76108I71XP,50,M,735731,734,1,Segement 4,1,0.9308874186866818,93.09,Yes
13462L78GZ,37,M,664088,927,1,Segement 4,1,0.9308616487785054,93.09,Yes
56201U53CG,55,M,762837,703,1,Segement 4,1,0.9308259252757486,93.08,Yes
44350M70OC,38,F,744293,632,0,Segement 4,1,0.9307927895580436,93.08,Yes
44837N62OV,51,M,740607,545,1,Segement 4,1,0.9307883885633439,93.08,Yes
05465M74EE,61,M,795443,864,1,Segement 4,1,0.9307646148837696,93.08,Yes
13868E79XF,56,M,767517,708,0,Segement 4,1,0.9306955817858125,93.07,Yes
73920C42HL,42,M,690421,847,1,Segement 4,1,0.9306770047712112,93.07,Yes
25926X39DJ,48,F,798379,754,1,Segement 4,1,0.9306495047313775,93.06,Yes
12651P14JC,60,M,789033,927,1,Segement 4,1,0.9306193389755675,93.06,Yes
44687V31LK,46,M,711787,860,1,Segement 4,1,0.9305768020695747,93.06,Yes
19456F61NA,55,M,761270,818,1,Segement 4,1,0.9305761965726884,93.06,Yes
13710R93PT,38,M,780245,445,1,Segment 3,1,0.9305249392067667,93.05,Yes
16189A99VE,52,M,744330,992,1,Segement 4,1,0.9305052216210882,93.05,Yes
85976U83MJ,54,M,754990,624,1,Segement 4,1,0.9304513445921626,93.05,Yes
42237E33YB,42,M,688981,572,1,Segement 4,1,0.9304470896819701,93.04,Yes
86525D90PX,43,M,694435,814,1,Segement 4,1,0.9304399682331828,93.04,Yes
55522G80KD,40,M,677904,632,1,Segement 4,1,0.9304343063720435,93.04,Yes
12220R40RR,43,M,694152,1002,1,Segement 4,1,0.9303946963670984,93.04,Yes
87686Y93EC,52,M,743445,698,1,Segement 4,1,0.9303636793232843,93.04,Yes
44200Q87HU,62,M,798414,981,1,Segement 4,1,0.930361065783687,93.04,Yes
59451L60FY,49,M,726912,972,0,Segement 4,1,0.9303576915218115,93.04,Yes
39544L15YW,45,M,704856,1011,1,Segement 4,1,0.9303477856398823,93.03,Yes
13674C85CP,39,F,746691,573,1,Segement 4,1,0.9302976389138742,93.03,Yes
83898X83TK,54,M,754005,884,1,Segement 4,1,0.9302936790587342,93.03,Yes
